"Year","Phase","Strength"
1896,"Neutral",""
1897,"El Niño",""
1898,"Neutral",""
1899,"Neutral",""
1900,"El Niño",""
1901,"Neutral",""
1902,"Neutral",""
1903,"El Niño",""
1904,"La Niña",""
1905,"Neutral",""
1906,"El Niño",""
1907,"Neutral",""
1908,"Neutral",""
1909,"La Niña",""
1910,"La Niña",""
1911,"La Niña",""
1912,"Neutral",""
1913,"Neutral",""
1914,"Neutral",""
1915,"El Niño",""
1916,"Neutral",""
1917,"La Niña",""
1918,"La Niña",""
1919,"El Niño",""
1920,"Neutral",""
1921,"Neutral",""
1922,"Neutral",""
1923,"Neutral",""
1924,"Neutral",""
1925,"La Niña",""
1926,"El Niño",""
1927,"Neutral",""
1928,"Neutral",""
1929,"Neutral",""
1930,"Neutral",""
1931,"El Niño",""
1932,"Neutral",""
1933,"Neutral",""
1934,"La Niña",""
1935,"Neutral",""
1936,"Neutral",""
1937,"Neutral",""
1938,"Neutral",""
1939,"La Niña",""
1940,"Neutral",""
1941,"El Niño",""
1942,"El Niño",""
1943,"La Niña",""
1944,"Neutral",""
1945,"Neutral",""
1946,"Neutral",""
1947,"Neutral",""
1948,"Neutral",""
1949,"Neutral",""
1950,"Neutral",""
1951,"Neutral",""
1952,"El Niño","Moderate"
1953,"El Niño","Weak"
1954,"El Niño","Weak"
1955,"La Niña","Weak"
1956,"La Niña","Moderate"
1957,"Neutral",""
1958,"El Niño","Strong"
1959,"Neutral",""
1960,"Neutral",""
1961,"Neutral",""
1962,"Neutral",""
1963,"Neutral",""
1964,"El Niño","Moderate"
1965,"La Niña","Weak"
1966,"El Niño","Strong"
1967,"Neutral",""
1968,"Neutral",""
1969,"El Niño","Moderate"
1970,"El Niño","Weak"
1971,"La Niña","Moderate"
1972,"La Niña","Weak"
1973,"El Niño","Strong"
1974,"La Niña","Strong"
1975,"La Niña","Weak"
1976,"La Niña","Strong"
1977,"El Niño","Weak"
1978,"El Niño","Weak"
1979,"Neutral",""
1980,"El Niño","Weak"
1981,"Neutral",""
1982,"Neutral",""
1983,"El Niño","Very Strong"
1984,"La Niña","Weak"
1985,"La Niña","Weak"
1986,"Neutral",""
1987,"El Niño","Moderate"
1988,"El Niño","Strong"
1989,"La Niña","Strong"
1990,"Neutral",""
1991,"Neutral",""
1992,"El Niño","Strong"
1993,"Neutral",""
1994,"Neutral",""
1995,"El Niño","Moderate"
1996,"La Niña","Moderate"
1997,"Neutral",""
1998,"El Niño","Very Strong"
1999,"La Niña","Strong"
2000,"La Niña","Strong"
2001,"La Niña","Weak"
2002,"Neutral",""
2003,"El Niño","Moderate"
2004,"Neutral",""
2005,"El Niño","Weak"
2006,"La Niña","Weak"
2007,"El Niño","Weak"
2008,"La Niña","Strong"
2009,"La Niña","Weak"
2010,"El Niño","Moderate"
2011,"La Niña","Strong"
2012,"La Niña","Moderate"
2013,"Neutral",""
2014,"Neutral",""
2015,"El Niño","Weak"
2016,"El Niño","Very Strong"
2017,"La Niña","Weak"
2018,"La Niña","Weak"
2019,"El Niño","Weak"
2020,"Neutral",""
2021,"La Niña","Moderate"
2022,"La Niña","Moderate"
2023,"La Niña","Weak"
2024,"El Niño","Moderate"
